date,issued_shares,foreign_holding_shares,big_holder_over400_shares,big_holder_over1000_shares,locked_shares,free_float_shares,locked_pct,source,fetched_at
2026-01-02,30283215,53087,11112197,8618753,8618753,21664462,0.284605,finmind,2026-07-22T04:17:31.412074+08:00
2026-01-09,30283215,46087,11112197,8618753,8618753,21664462,0.284605,finmind,2026-07-22T04:17:31.412074+08:00
2026-01-16,30283215,55087,11112197,8618753,8618753,21664462,0.284605,finmind,2026-07-22T04:17:31.412074+08:00
2026-01-23,30283215,59087,11112197,8618753,8618753,21664462,0.284605,finmind,2026-07-22T04:17:31.412074+08:00
2026-01-30,30283215,65087,11112197,8618753,8618753,21664462,0.284605,finmind,2026-07-22T04:17:31.412074+08:00
2026-02-06,30283215,65087,11112197,8618753,8618753,21664462,0.284605,finmind,2026-07-22T04:17:31.412074+08:00
2026-02-13,30283215,61087,11112197,8618753,8618753,21664462,0.284605,finmind,2026-07-22T04:17:31.412074+08:00
2026-02-26,30283215,61087,11112197,8618753,8618753,21664462,0.284605,finmind,2026-07-22T04:17:31.412074+08:00
2026-03-06,30283215,59087,11112197,8618753,8618753,21664462,0.284605,finmind,2026-07-22T04:17:31.412074+08:00
2026-03-13,30283215,65087,11112197,8618753,8618753,21664462,0.284605,finmind,2026-07-22T04:17:31.412074+08:00
2026-03-20,30283215,64087,11112197,8618753,8618753,21664462,0.284605,finmind,2026-07-22T04:17:31.412074+08:00
2026-03-27,30283215,62087,11112197,8618753,8618753,21664462,0.284605,finmind,2026-07-22T04:17:31.412074+08:00
2026-04-02,30283215,59087,11112197,8618753,8618753,21664462,0.284605,finmind,2026-07-22T04:17:31.412074+08:00
2026-04-10,30283215,58057,11112197,8618753,8618753,21664462,0.284605,finmind,2026-07-22T04:17:31.412074+08:00
2026-04-17,30283215,71057,11112197,8618753,8618753,21664462,0.284605,finmind,2026-07-22T04:17:31.412074+08:00
2026-04-24,30283215,71977,11112197,8618753,8618753,21664462,0.284605,finmind,2026-07-22T04:17:31.412074+08:00
2026-04-30,30283215,69977,11112197,8618753,8618753,21664462,0.284605,finmind,2026-07-22T04:17:31.412074+08:00
2026-05-08,30283215,67977,11112211,8618753,8618753,21664462,0.284605,finmind,2026-07-22T04:17:31.412074+08:00
2026-05-15,30283215,70977,11112211,8618753,8618753,21664462,0.284605,finmind,2026-07-22T04:17:31.412074+08:00
2026-05-22,30283215,57977,11112211,8618753,8618753,21664462,0.284605,finmind,2026-07-22T04:17:31.412074+08:00
2026-05-29,30283215,81977,11112211,8618753,8618753,21664462,0.284605,finmind,2026-07-22T04:17:31.412074+08:00
2026-06-05,30283215,76977,11112211,8618753,8618753,21664462,0.284605,finmind,2026-07-22T04:17:31.412074+08:00
2026-06-12,30283215,82977,11112211,8618753,8618753,21664462,0.284605,finmind,2026-07-22T04:17:31.412074+08:00
2026-06-18,30283215,59977,11112211,8618753,8618753,21664462,0.284605,finmind,2026-07-22T04:17:31.412074+08:00
2026-06-26,30283215,55977,11112211,8618753,8618753,21664462,0.284605,finmind,2026-07-22T04:17:31.412074+08:00
2026-07-03,30283215,57977,11112211,8618753,8618753,21664462,0.284605,finmind,2026-07-22T04:17:31.412074+08:00
2026-07-09,30283215,68977,11112211,8618753,8618753,21664462,0.284605,finmind,2026-07-22T04:17:31.412074+08:00
2026-07-17,30283215,73977,11112211,8618753,8618753,21664462,0.284605,finmind,2026-07-22T04:17:31.412074+08:00
